First Name,Last Name,Mailing Address,Mailing City,Mailing State,Mailing Zip,Property Address,Property City,Property State,Property Zip,Lead Type,Document Type,Date Filed,Document Number,Amount/Debt Owed,Seller Score,Motivated Seller Flags,Source,Public Records URL
,,,,TX,,13114 LAGUNA MADRE ST,San Antonio,TX,78002,Notice of Foreclosure / Mortgage,NOFC,,26292,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,28210 VERSANT HLS,San Antonio,TX,78015,Notice of Foreclosure / Mortgage,NOFC,,26293,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,8954 NATURE TRAIL,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26294,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,10411 MCCLINTOCK DR,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26295,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,7030 SUNSPOT,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26296,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,9710 FALCON BAY,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26297,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,2147 COLLINS ALLEY,San Antonio,TX,78263,Notice of Foreclosure / Mortgage,NOFC,,26298,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,5911 KELLOG CT,San Antonio,TX,78109,Notice of Foreclosure / Mortgage,NOFC,,26299,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4802 LOST HILLS DR,San Antonio,TX,78112,Notice of Foreclosure / Mortgage,NOFC,,26300,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4802 LOST HILLS DR,San Antonio,TX,78112,Notice of Foreclosure / Mortgage,NOFC,,26301,0.0,45,Pre-foreclosure,Bexar County GIS,
,,,,TX,,4802 WATERWOOD PASS DR,San Antonio,TX,78112,Notice of Foreclosure / Mortgage,NOFC,,26302,0.0,45,Pre-foreclosure,Bexar County GIS,
